720,12.3,12.711352939172308,14.562728674653956,14.464104985727493
721,11.2,12.68642727031523,14.557417232552638,14.431866497068928
722,11.1,12.659188440036761,14.551723826235527,14.40071074731778
723,11,12.629692891595436,14.545662602964995,14.370516813329663
724,11,12.601363090509603,14.539246105105741,14.342475930196002
725,11,12.5739885333552,14.532509236760932,14.315390487384482
726,11.1,12.551335989574113,14.525470861247697,14.294023918217238
727,11.3,12.53612167727955,14.518217789721037,14.278883850210464
728,11.6,12.539098505696519,14.513766368283791,14.279879547259696
729,11.9,12.570654516297402,14.516400697763675,14.305547349656505
730,12.2,12.631245248633077,14.52709224550411,14.350045001984482
731,12.5,12.714139600970876,14.544294147759956,14.406374205256014
732,12.8,12.80312038357132,14.563205760942317,14.464794363137996
733,12.9,12.878827110982138,14.578437607227823,14.514688051387711
734,13,12.933679030559562,14.587258377655228,14.547165629346171
735,12.9,12.96338642771447,14.588957173572442,14.554892967374462
736,12.8,12.97518101826344,14.58559129352308,14.543530397933933
737,12.6,12.980672158804952,14.581523943458121,14.528587761565367
738,12.3,12.978801594722661,14.57734098015649,14.510832962558991
739,11.8,12.963185209297556,14.572992472802543,14.488869167235002
740,11.6,12.942099744505256,14.56839754724725,14.466394550278837
741,11.4,12.915383593816953,14.563541329849317,14.442569167238746
742,9.6,12.823403065633153,14.558398247737303,14.401347587259947
743,7.7,12.651641635738287,14.552609476058665,14.344916533566625
1392,4.8,10.460116989088366,15.439100419199779,14.625782226258773
1393,8,10.42830995146314,15.417886018346483,14.62545903763152
1394,7.9,10.394048862282725,15.396910888019235,14.622564442858884
1395,7.8,10.357423297728868,15.37613372991333,14.617337663971051
1396,7.8,10.322293041687898,15.355517062499011,14.610978920367504
1397,7.8,10.28858557916806,15.335047585642407,14.603597718452722
1398,8,10.262558924807196,15.314713412483838,14.588056839230205
1399,8.3,10.259894508305239,15.298233570725115,14.592027036402826
1400,8.7,10.328792127204014,15.301491020901745,14.632726926075028
1401,9.2,10.46319547196337,15.323157405291221,14.70440929391955
1402,9.7,10.659510217955319,15.363417224218187,14.791058290000322
1403,10.3,11.051679727341348,15.467430890893574,14.888212982642246
1404,10.6,11.201390177079254,15.492079927714316,14.978190556690747
1405,10.9,11.423561458003245,15.54137825122479,15.072444895114586
1406,11,11.525448050245858,15.552617346508832,15.136195000157523
1407,10.9,11.589323326125122,15.553822595507553,15.17026233167287
1408,10.7,11.6168297156401,15.545838558386661,15.171111299815262
1409,10.3,11.615449497615081,15.532460989692657,15.153225068932038
1410,9.9,11.601368401082857,15.51905325722409,15.131811445504482
1411,9,11.555927672879447,15.505543366582618,15.102108355894767
1412,8.7,11.500968102370694,15.491759247394222,15.07089609481125
1413,8.5,11.440622524387901,15.47766492829026,15.039296175919693
1414,9.3,11.412662968790828,15.463248211093681,15.015147037627756
1415,9.9,11.405710762434046,15.448679167252793,14.995698596966308
2136,13,14.07586875931367,18.758019629943988,17.95723499400981
2137,13,14.085923002367961,18.737619220117825,17.94723581367546
2138,12.6,14.082928583946185,18.71741694408029,17.931516778488117
2139,12.2,14.066365651363036,18.697309093972905,17.910654305901744
2140,11.8,14.035990448696394,18.677199593868867,17.885488279883596
2141,11.4,13.991667225867095,18.657003810394958,17.856156307487783
2142,11,13.943639834036919,18.64006577355281,17.834583036016127
2143,11,13.925224559125173,18.632535377213824,17.83744947469925
2144,11,14.032705126139223,18.666987650107025,17.884455947799584
2145,11,14.249524093550859,18.739838027050126,17.932579273052713
2146,11,14.492615605864497,18.82534042661743,18.011918375480967
2147,12,14.868110619041875,18.945438575228227,18.094297087984053
2148,12,15.240112453753985,19.069898417288336,18.189351119538944
2149,13,15.629720935761236,19.19294883548702,18.276095650090962
2150,13,15.927739638963269,19.291277586885837,18.3583366205034
2151,12,16.06011185444749,19.35300975353151,18.41974882248733
2152,10,15.97134669081249,19.37596741983733,18.427536626003604
2153,11,15.84663419132141,19.36684580350269,18.4279462323304
2154,11,15.697655886134529,19.347278092964697,18.398952061277605
2155,8.2,15.41467493260895,19.327305683345276,18.347812927535664
2156,8,15.137518690243205,19.306359777516626,18.294003305239205
2157,7.8,14.866759600417,19.284434069797868,18.241858493816874
2158,7.2,14.581047533155177,19.261578127312333,18.192468247475404
2159,6.5,14.27677498901778,19.237807275499666,18.151042067317533
2856,9,14.729817191701768,23.52253532493148,22.805820810123464
2857,9,14.587179987910845,23.49410230046725,22.744323354579723
2858,8,14.400810207366643,23.465000970100313,22.66930571894259
2859,8,14.226399728748635,23.43497450089871,22.60641162436892
2860,8,14.060363485857954,23.40421546349943,22.535121246942435
2861,8,13.914796322169861,23.375819834822277,22.489713907429866
2862,8,13.789776961716234,23.351265390975072,22.45692506727843
2863,9,13.739725101076441,23.333110320960547,22.456558542688075
2864,10,13.755985515994944,23.3215699768319,22.48823799866786
2865,10,13.838537172394908,23.33327683327939,22.57625611140293
2866,12,14.186828979356656,23.411085419834816,22.684224984664368
2867,13,14.61394086164969,23.510144201401886,22.769543245822135
2868,14,15.065915654890208,23.6138593285757,22.860983480212564
2869,15,15.502061925073425,23.70998954982493,22.957033556956855
2870,16,15.886377020176282,23.786848591961743,23.054547294021017
2871,16,16.176725850181267,23.83654483440564,23.13442077013431
2872,16,16.363345684901592,23.854493264528198,23.203138092752603
2873,16,16.462854132988056,23.845927888411783,23.233924879039915
2874,15,16.498063533887763,23.826667600338777,23.217944447143694
2875,11.5,16.37674251605388,23.802830113122944,23.145605214504737
2876,10.2,16.19887244159083,23.778167179833428,23.069274383432095
