113,10.7,0,0,0,0,7.2,180,101254
114,10,0,0,0,0,6.7,190,101254
115,9.2,0,0,0,0,7.2,190,101255
116,8.5,0,0,0,0,7.7,216,101254
117,7.9,0,0,0,0,7.7,312,101254
118,7.4,0,0,0,0,7.7,178,101253
119,7.1,0,0,0,0,7.7,276,101253
120,6.8,0,0,0,0,7.7,41,101254
121,10,0,0,0,0,7.7,239,101254
122,10,0,0,0,0,7.7,182,101254
123,9.9,0,0,0,0,7.7,236,101254
124,9.9,0,0,0,0,7.7,83,101254
125,9.9,0,0,0,0,7.7,29,101254
126,10,0,0,0,0,4,148,101254
127,10.1,0,0,0,0,5.1,230,101254
128,10.2,0,0,0,17,6.2,220,101254
129,10.4,5.75649,137.72402,190,52,5.1,220,101254
130,10.6,11.158467,150.594904,402,69,6.2,230,101254
131,10.8,14.722775,164.326877,310,110,5.7,230,101254
132,10.9,16.106772,178.62535,14,105,6.2,230,101254
133,11,15.170957,192.979166,4,88,6.2,240,101254
134,11,12.010492,206.85469,0,52,6.7,250,101254
135,11,6.932361,219.905591,0,13,5.1,250,101254
136,10.9,0.571345,232.062369,0,0,5.1,250,101254
137,10.8,0,0,0,0,4.6,250,101254
138,10.6,0,0,0,0,4.1,250,101254
139,10.5,0,0,0,0,4.1,16,101254
140,10.4,0,0,0,0,4.1,240,101254
141,10.3,0,0,0,0,4.1,258,101254
142,10.2,0,0,0,0,4.1,104,101254
143,10.1,0,0,0,0,4.1,76,101254
144,10.1,0,0,0,0,4.1,152,101253
145,5.5,0,0,0,0,4.1,175,101253
146,5.2,0,0,0,0,4.1,162,101253
147,5.1,0,0,0,0,4.1,166,101253
148,5,0,0,0,0,4.1,339,101253
149,5.1,0,0,0,0,3.1,197,101253
150,5.4,0,0,0,0,3.6,220,101253
151,6,0,0,0,0,4.1,220,101253
152,6.7,0,0,0,17,4.6,220,101254
153,7.6,5.822375,137.576965,227,53,6.2,210,101254
154,8.7,11.244266,150.456146,411,69,6.2,210,101254
155,9.6,14.828893,164.201491,344,102,6.7,210,101254
156,10.3,16.231844,178.519354,320,112,6.7,210,101254
157,10.8,15.31146,192.897008,11,88,6.7,220,101254
158,11,12.161574,206.797382,162,57,6.2,220,101254
159,10.8,7.088458,219.870912,0,14,6.4,204,101254
160,10.4,0.711361,232.046282,0,0,6.7,210,101254
161,9.7,0,0,0,0,6.7,220,101254
162,9,0,0,0,0,7.2,210,101254
163,8.2,0,0,0,0,6.2,220,101254
164,7.5,0,0,0,0,7.7,210,101254
165,6.9,0,0,0,0,9.2,124,101253
166,6.4,0,0,0,0,9.2,44,101253
167,6.1,0,0,0,0,9.2,226,101253
168,5.8,0,0,0,0,9.2,311,101253
169,7.2,0,0,0,0,9.2,221,101253
170,7.1,0,0,0,0,9.2,203,101253
171,7,0,0,0,0,9.2,126,101253
172,7,0,0,0,0,9.2,91,101253
173,7.1,0,0,0,0,9.2,203,101254
174,7.2,0,0,0,0,4.1,11,101254
175,7.5,0,0,0,0,4.6,270,101254
176,7.9,0,0,0,14,5.1,260,101253
177,8.3,5.895331,137.428095,41,61,3.6,250,101253
178,8.8,11.33736,150.316493,75,98,5.1,240,101254
179,9.3,14.942352,164.076346,101,110,5.1,260,101254
180,9.7,16.364114,178.414875,69,110,5.1,250,101254
181,9.9,15.458814,192.817627,54,94,5.1,88,101254
182,10,12.318999,206.743932,6,62,5.1,64,101254
183,9.9,7.250331,219.840923,0,18,5.1,230,101254
184,9.7,0.857313,232.035497,0,0,5.1,226,101254
185,9.4,0,0,0,0,5.1,170,101254
186,9,0,0,0,0,5.1,87,101254
187,8.6,0,0,0,0,5.1,70,101254
188,8.3,0,0,0,0,5.1,233,101254
189,8,0,0,0,0,5.1,167,101254
190,7.7,0,0,0,0,5.1,100,101254
191,7.5,0,0,0,0,5.1,199,101253
192,7.4,0,0,0,0,5.1,275,101252
193,3.3,0,0,0,0,5.1,51,101252
194,3.2,0,0,0,0,5.1,335,101252
195,3,0,0,0,0,5.1,73,101252
196,3,0,0,0,0,5.1,262,101252
197,3.1,0,0,0,0,5.1,126,101252
198,3.3,0,0,0,0,5.1,234,101253
